|57|,|3|,|166|,|1055|,|501|,|7991.48|,|7500|,|2007-05-15|,|Parcela 3 de 4 referente a OS 001 de desenvolvimento de upgrade no sistema. contemplando novas funcionalidades. novos relatórios e ajustes em relatórios existentes.|,|10|,|16|
|58|,|2|,|149|,|425|,|502|,|1700|,|1674.5|,|2007-05-17|,|Parcela referente a manutenção do mês de abril-maio/2007 das funcionalidades existentes no SisconDJ instalado no TJMT|,|0|,|16|
|59|,|7031|,|247|,|1028|,|503|,|1700|,|1674.5|,|2007-05-17|,|Parcela referente a manutenção do mês de abril-maio/2007 das funcionalidades existentes no SisconDJ instalado no TJAM|,|0|,|16|
|60|,|7028|,|240|,|994|,|505|,|7366.65|,|6913.6|,|2007-05-21|,|SAPP - Sistema de Acompanhamento de Projeto Pedagógico|,|12|,|16|
|61|,|7022|,|254|,|1085|,|506|,|2785.79|,|2744|,|2007-05-21|,|Parcela 02 de 02. referente a OS 001 que contempla o desenvolvimento e a implantação do Website My Fair Lady|,|15|,|21|
|62|,|7038|,|256|,|1094|,|508|,|2833.33|,|2790.83|,|2007-05-29|,|Consultoria de processos. análise de sistemas e elaboração de documentos|,|15|,|16|
|63|,|992|,|260|,|1112|,|509|,|25577|,|24004|,|2007-05-30|,|Desenvolvimento e Implantação do Hotsite Sadia Club|,|8|,|21|
|64|,|6936|,|246|,|1027|,|510|,|2800|,|2758|,|2007-06-01|,|Referente à terceira parcela do projeto Sistema Digital Pesquisa|,|10|,|16|
|65|,|6936|,|253|,|1082|,|511|,|2000|,|1970|,|2007-06-01|,|Projeto “O Melhor Lugar do Mundo"|,|10|,|16|
|66|,|7040|,|252|,|1079|,|512|,|2968.02|,|2923.5|,|2007-06-01|,|Parcela 01 de 04. referente a OS 001 que contempla o desenvolvimento e a implantação do SPO - Sistema de Pedidos Online da Compactor.|,|14|,|16|
|67|,|3|,|175|,|291|,|513|,|10729.9|,|10070|,|2007-06-01|,|Referente a 190 horas do mês de maio/2007 de alocação do recurso Francisco Ogatha em análise/desenvolvimento de sistemas java|,|10|,|16|
|68|,|3|,|175|,|291|,|514|,|11633.5|,|10918|,|2007-06-01|,|Referente a 206 horas do mês de maio de 2007 de alocação de recurso java para o desenvolvimento de sistemas para a área de Vendas|,|10|,|16|
|69|,|46|,|113|,|1128|,|0|,|488|,|488|,|2007-06-11|,|OS 010 - Upgrade -> Inclusão de Novo Fundo de Investimento|,|10|,|0|
|70|,|7031|,|247|,|999|,|515|,|6425|,|6029.86|,|2007-06-11|,|Parcela 1 de 2 referente consultoria e desenvolvimento de adequações SisconDJ 2.0 para a Lei Federal 10.819/2003.|,|10|,|16|
|71|,|6947|,|181|,|394|,|516|,|6249.89|,|5865.52|,|2007-06-12|,|Elaboracao de programas software. Conforme OS-SF-001. OS-SF-002. OS-SF-005 e OS-SF-028.|,|6|,|21|
